anio,mes,municipio_id,municipio_nombre,monto
2010,2,06490,Lomas de Zamora,240906.24
2010,2,06497,Luján,70564.61
2010,2,06505,Magdalena,19651.79
2010,2,06511,Maipú,13050.57
2010,2,06515,Malvinas Argentinas,169431.08
2010,2,06518,Mar Chiquita,24583.73
2010,2,06525,Marcos Paz,56527.55
2010,2,06532,Mercedes,44235.64
2010,2,06539,Merlo,235291.45
2010,2,06547,Monte,24963.12
2010,2,06553,Monte Hermoso,19803.57
2010,2,06560,Moreno,226641.57
2010,2,06568,Morón,130051.41
2010,2,06574,Navarro,17527.27
2010,2,06581,Necochea,48029.42
2010,2,06588,9 de Julio,28605.15
2010,2,06595,Olavarría,55617.02
2010,2,06602,Patagones,28984.54
2010,2,06609,Pehuajó,30350.31
2010,2,06616,Pellegrini,12747.07
2010,2,06623,Pergamino,54175.39
2010,2,06630,Pila,12671.21
2010,2,06638,Pilar,139004.79
2010,2,06644,Pinamar,28453.43
2010,2,06648,Presidente Perón,62369.98
2010,2,06651,Puán,13809.33
2010,2,06655,Punta Indio,18437.79
2010,2,06658,Quilmes,228841.97
2010,2,06665,Ramallo,31033.2
2010,2,06672,Rauch,19500.06
2010,2,06679,Rivadavia,20562.33
2010,2,06686,Rojas,22307.48
2010,2,06693,Roque Pérez,21700.44
2010,2,06700,Saavedra,16540.89
2010,2,06707,Saladillo,27087.68
2010,2,06721,Salliqueló,11608.94
2010,2,06714,Salto,25494.25
2010,2,06728,San Andrés de Giles,28453.43
2010,2,06735,San Antonio de Areco,21928.09
2010,2,06742,San Cayetano,16009.76
2010,2,06749,San Fernando,104329.45
2010,2,06756,San Isidro,78228.08
2010,2,06760,San Miguel,142495.07
2010,2,06763,San Nicolás,78531.58
2010,2,06770,San Pedro,44007.99
2010,2,06778,San Vicente,52581.99
2010,2,06784,Suipacha,13885.21
2010,2,06791,Tandil,58727.93
2010,2,06798,Tapalqué,12443.58
2010,2,06805,Tigre,156001.02
2010,2,06812,Tordillo,9332.66
2010,2,06819,Tornquist,14112.83
2010,2,06826,Trenque Lauquen,26177.15
2010,2,06833,Tres Arroyos,39986.57
2010,2,06840,Tres de Febrero,100080.38
2010,2,06847,Tres Lomas,13278.22
2010,2,06854,25 de Mayo,26860.04
2010,2,06861,Vicente López,58652.08
2010,2,06868,Villa Gesell,27467.02
2010,2,06875,Villarino,30502.07
2010,2,06882,Zárate,64873.91
2010,3,06007,Adolfo Alsina,20282.87
2010,3,06014,Adolfo Gonzales Chaves,24629.2
2010,3,06021,Alberti,18730.61
2010,3,06028,Almirante Brown,297725.06
2010,3,06077,Arrecifes,39117.06
2010,3,06035,Avellaneda,184409.43
2010,3,06042,Ayacucho,24215.28
2010,3,06049,Azul,52880.51
